Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14004850,4,253,12.679386,7.654436,19953.64759776223,33052.72916254052,1.656475539151415
14004854,4,62,7.125213,4.502295,8701.494257083965,13770.754692884408,1.582573554154048
14002541,4,249,17.840756,10.12942,13956.807659944456,24581.861547847755,1.7612811000037514
14004861,4,177,14.917149,8.666786,11865.538113214528,20422.795716889745,1.721185800595515
14002678,4,149,7.709859,10.446228,19325.90466310733,14263.521722864942,0.7380519552129247
14002685,4,12,0.7186180000000001,0.711097,16698.718929946088,16875.334869926326,1.0105766161297265
14004890,4,322,18.413901,13.160783,17486.788921043943,24466.629379118247,1.3991493515241455
14002720,4,306,18.996544,11.860188,16108.193153449385,25800.602823496556,1.6017068194871784
14004892,4,154,5.996438,4.242538,25681.913162447436,36299.02666752779,1.4134082004686819
14004894,4,88,11.245541,8.069319,7825.323832797373,10905.505160968354,1.3936171069702412
14004977,4,104,6.518368,4.174008,15954.913868011134,24916.09982539564,1.561656805641005
14002741,4,422,19.898957,12.478016,21207.141660741316,33819.4789940965,1.594721228118316
14004983,4,185,13.717969,7.534362,13485.961369354312,24554.169284672014,1.8207207192858534
14002780,4,244,17.259422,9.540701,14137.20575347193,25574.640689400076,1.8090308039210117
21631009,4,177,14.347655,8.990086,12336.51073990837,19688.354482927083,1.5959419075635093
14002794,4,333,22.613814,12.774748,14725.512467733217,26067.050402872916,1.770196484502082
21631021,4,149,15.227944,12.093962,9784.643284740212,12320.197467132773,1.2591360879089915
14002806,4,251,4.562708,5.551525,55011.1907227024,45212.80188776958,0.8218837166364197
14002827,4,96,8.272694,4.834717,11604.442277207403,19856.384561909206,1.711102014864572
21631037,4,221,16.059709,8.98159,13761.145983404804,24605.888266999493,1.7880697070340552
14002849,4,183,8.927183,5.84384,20499.187705684984,31315.025736502026,1.5276227617457012
14002875,4,136,11.639085,7.00851,11684.767316331137,19404.98051654346,1.6607074827602442
21631051,4,108,17.195501,11.417788,6280.712611979146,9458.924968654173,1.5060273496057206
14002887,4,165,10.905027,6.478371,15130.636540377202,25469.365678501585,1.6832976993753523
