Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14003618,16,56,4.736451,1.237284,11823.198424305456,45260.425254024136,3.8281033295508546
14003664,16,80,4.210868,1.360396,18998.458275110977,58806.406369909935,3.095325184725624
14003666,16,328,20.182561,3.671159,16251.654088893874,89345.08148516587,5.497599259525398
14003673,16,378,23.604177,5.602076,16014.11478993739,67474.98605873965,4.2134696137646115
14003679,16,309,18.410602,3.502598,16783.80750395886,88220.2296695196,5.2562703456120285
14003681,16,67,2.925339,1.25495,22903.328468939835,53388.581218375235,2.3310402804892627
14003688,16,227,18.128606,3.088102,12521.646727828933,73507.93464723638,5.870468656799549
14003704,16,82,1.674612,1.665531,48966.566583781794,49233.54773942965,1.0054523152075825
14003719,16,280,22.952827,3.830087,12198.933055174424,73105.38898985846,5.992769093756878
14003730,16,279,16.973962,3.03139,16436.940297144534,92036.98633300235,5.599398955594628
14003766,16,263,20.65297,3.715697,12734.245970434276,70780.79832666657,5.558303058618612
14003807,16,0,900.0,899.0,0.0,0.0,1.0011123470522802
14003812,16,87,7.658856,1.726474,11359.398844944988,50391.72324633907,4.436125884316821
14003819,16,166,11.393788,3.439517,14569.342522434154,48262.59035789037,3.3126127883653433
14003839,16,187,9.831955,2.10231,19019.615122323077,88949.77429589357,4.67673892052076
14003842,16,89,8.903266,2.626217,9996.331683227256,33889.05029553917,3.39014864346701
14003925,16,181,7.722507,2.416239,23437.984581949877,74909.80817708843,3.196085734896258
14003951,16,33,1.399287,1.392412,23583.439280147675,23699.881931497286,1.0049374754023952
14003960,16,72,5.018777,1.518967,14346.124563813055,47400.63477350068,3.3040724387034084
14003979,16,49,2.898451,2.88357,16905.581636536204,16992.82486639825,1.0051606168742218
14004016,16,201,17.416821,15.208598,11540.567592673773,13216.208357930165,1.145195697854595
14004037,16,173,10.577065,4.658513,16356.144166647364,37136.313669190145,2.270480945314524
14004047,16,245,13.951306,5.307898,17561.079944773628,46157.6315143961,2.628405067316667
14004069,16,28,2.023364,2.015126,13838.340506206494,13894.912774685057,1.0040880818370663
14004076,16,207,15.335842,4.990862,13497.791643914956,41475.80117422602,3.0727842204412785
14004139,16,245,11.824024,2.579104,20720.526277686855,94994.23055448713,4.584547191582813
14004153,16,176,12.366704,6.48578,14231.76296610641,27136.288927469017,1.9067412092300386
14004219,16,187,13.895822,6.274435,13457.282339972402,29803.48031336686,2.214673034305081
14004221,16,405,29.161055,12.782249,13888.386411259811,31684.565055805124,2.281371220354102
14004227,16,38,3.48296,3.477641,10910.260238417897,10926.947318599015,1.0015294850733585
14004236,16,181,13.992815,2.505553,12935.209963113211,72239.54153035278,5.584721217232284
14004264,16,469,20.081765,5.717565,23354.52088001229,82027.9262238383,3.512293257706734
14004267,16,60,3.811186,1.350756,15743.130878419473,44419.56948553254,2.821520689154814
14004274,16,443,28.631859,6.75009,15472.275132397097,65628.75457956857,4.2417003328844505
14004292,16,115,9.053941,2.68107,12701.651137333456,42893.32244215928,3.3769879190024876
14004313,16,190,13.389827,2.653856,14189.877135828567,71593.9372746675,5.045423338719207
14004318,16,0,0.0010509999999999999,879.0,0.0,0.0,1.1956769055745164e-06
14004321,16,66,4.660357,1.415527,14162.005185439655,46625.744334089,3.292312333145182
14004354,16,337,30.129841,8.808965,11184.924606804265,38256.48075568469,3.420361075336319
14004401,16,119,7.895141,2.084498,15072.561718657083,57088.0854766951,3.7875502878870595
14004429,16,47,1.864959,1.857506,25201.62641645205,25302.74464793115,1.004012369273639
14004462,16,98,5.290754,1.374225,18522.87972564969,71312.92182866707,3.849991085884771
14004483,16,388,23.402508,4.413878,16579.419607505315,87904.55921074393,5.302028737541001
14004522,16,690,18.894474,7.675402,36518.61385503508,89897.57148876372,2.4616917784892567
14004524,16,118,6.887878,1.844365,17131.546174307965,63978.65932177199,3.734552542473968
14004529,16,192,11.560023,3.450735,16608.963494276784,55640.32010571661,3.3500176049450334
14004558,16,340,33.455259,13.776616,10162.826717318194,24679.500394000966,2.428409051976189
14004559,16,99,5.659539,1.638295,17492.59082762748,60428.67737495383,3.4545298618380693
14004565,16,100,15.286402,21.548616,6541.761756625267,4640.6692661839625,0.7093913595193306
14004574,16,472,39.321072,11.818182,12003.74191222457,39938.460924023675,3.3271675795820372
